5
1.4
0.5
1.1
1.1
1.5
0.74	4.29	card
1.19	1.20	card
1.93	4.06	cash
2.52	2.92	cash
3.13	3.75	card
3.85	2.79	cash
4.59	0.21	cash
4.76	4.18	cash
5.29	0.96	cash
6.23	3.23	cash
6.23	2.15	card
6.88	0.96	card
7.42	3.07	card
7.70	2.54	card
8.03	2.89	card
8.14	0.30	card
9.06	4.47	card
9.57	1.52	cash
9.72	1.02	card
10.48	4.42	cash
11.18	3.29	card
11.47	3.60	cash
12.31	3.58	cash
12.69	0.91	card
13.05	4.15	cash
13.17	3.03	cash
14.09	4.00	card
14.57	2.78	cash
14.65	0.44	cash
14.72	3.02	card
15.48	3.35	card
16.21	4.22	cash
16.40	1.01	card
16.63	3.19	cash
17.43	0.87	card
17.89	3.47	cash
18.81	2.79	card
19.58	4.46	card
19.75	0.19	card
19.97	0.96	cash
20.55	1.63	card
21.36	2.16	card
22.24	3.98	cash
22.71	1.94	card
22.78	4.09	card
23.21	0.19	cash
23.40	1.10	card
23.68	2.35	card
24.20	3.23	card
24.81	1.32	cash
25.68	1.50	card
26.04	0.73	cash
27.03	3.73	cash
27.65	1.97	card
27.86	1.20	card
28.42	1.28	card
28.67	1.41	card
29.49	2.96	card
30.42	4.34	card
30.83	3.16	cash
31.47	1.39	cash
32.16	2.11	card
32.45	4.43	cash
33.41	3.52	cash
33.67	0.14	cash
34.49	0.89	cash
34.99	2.21	cash
35.94	0.43	cash
36.14	2.13	cash
36.95	1.88	cash
37.47	4.48	cash
38.37	1.67	card
39.14	3.56	cash
39.77	0.97	card
40.13	1.90	cash
40.44	1.17	cash
40.78	1.51	cash
41.21	0.26	card
41.45	1.89	card
42.26	2.65	cash
42.60	1.55	card
43.44	3.46	card
44.07	1.25	cash
44.81	4.33	cash
45.50	2.82	cash
46.01	4.08	cash
46.56	1.15	cash
46.83	4.46	cash
47.26	0.96	card
48.00	3.57	cash
48.35	0.74	cash
49.04	2.24	card
49.89	1.12	cash
50.40	1.17	card
50.45	0.14	card
50.65	3.90	cash
51.26	0.05	cash
51.89	3.58	cash
52.75	0.98	card
53.74	2.99	card
54.07	3.66	card
54.67	0.65	card
55.35	3.19	card
56.13	0.41	cash
56.64	4.38	cash
57.06	3.59	cash
57.35	3.58	card
58.06	0.51	cash
58.28	3.68	card
58.60	2.23	cash
59.54	3.80	card
59.64	3.29	card
60.42	4.00	cash
60.94	0.27	cash
61.67	3.07	cash
62.42	2.04	card
62.80	1.28	card
62.92	1.00	card
63.84	0.32	card
64.61	3.99	cash
65.13	4.46	cash
65.76	2.29	cash
65.87	1.92	card
66.01	2.03	cash
66.39	1.97	card
67.29	1.81	card
67.98	1.55	card
68.53	3.84	cash
68.84	1.03	card
69.68	2.28	cash
70.59	1.19	cash
71.12	2.74	cash
71.71	0.26	card
72.62	2.51	cash
72.85	1.90	cash
73.55	2.51	cash
73.97	4.23	card
74.59	2.72	card
74.66	3.94	card
75.32	3.10	card
75.61	1.35	card
76.14	1.92	card
76.22	2.64	card
76.46	4.33	card
76.74	3.87	card
76.83	3.56	card
77.16	2.07	card
77.32	3.37	cash
78.18	0.66	card
79.05	2.64	cash
79.68	1.91	cash
80.04	2.65	cash
80.20	0.17	cash
80.55	0.52	cash
81.42	1.53	card
82.02	3.59	cash
82.61	2.47	cash
83.45	3.25	card
83.51	4.02	cash
84.18	0.52	card
84.85	0.61	cash
85.22	0.40	card
85.86	3.52	cash
86.70	1.44	card
86.73	1.38	cash
87.47	0.95	card
88.31	3.06	card
88.79	2.29	card
89.27	1.23	cash
90.17	4.05	cash
90.77	4.15	card
91.72	0.84	cash
92.00	3.03	cash
92.01	1.29	cash
92.43	2.27	cash
92.67	1.35	card
93.66	2.79	cash
